FID,ogc_fid,id,sagsnr,type,status,oprettet,vejnavn,hus_nr_fra,hus_nr_til,postnr,postnavn,grave_type,grave_art,grave_formaal,projekt_start,projekt_slut,tidsrum_fra,tidsrum_til,bygherre,bygherre_kontakt,bygherre_telefon,entreprenoer_navn,entreprenoer_kontakt,ansoeger_navn,ansoeger_kontaktpers,ansoeger_kontakttele,eksporteret,parkeringspaavirkning,wkb_geometry
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c42,2249,2298,244265,Gravetilladelser,Godkendt,2019-03-27T08:00:33.89,Artillerivej,69,,2300,København S,Fortov,Vand,Reparation,2019-04-01,2019-04-12,07:00,15:00,HOFOR A/S,,,MUNCK FORSYNINGSLEDNINGER A/S,,Munck Forsyningsledninger A/S,,,2019-04-04T01:24:11.09,0,POINT (725152.27 6174285.51)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c41,2251,65650,231085,Gravetilladelser,Godkendt,2019-01-09T13:23:36.027,Artillerivej,69H,,2300,København S,"Cykelsti, Fortov",Midlertidig Overkørsel,Nyanlæg,2019-01-14,2019-05-30,06:00,18:30,københavns kommune,,,HOLBØLL A/S,,C. HOLBØLL & SØNNER ENTREPRISE A/S,,,2019-04-04T01:24:01.613,0,POINT (725024.35 6174241.32)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c40,2311,71854,235247,Gravetilladelser,Godkendt,2019-02-01T13:05:47.93,Asger Jorns Allé,13B,13B,2300,København S,Fortov,Fibernet,Nyanlæg,2019-03-18,2019-05-23,07:00,18:00,TDC A/S,,,FIBER OG ANLÆG I/S,,Fiber & Anlæg I/S,,,2019-04-04T01:24:04.49,0,POINT (724898.24 6169532.07)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3f,2665,3041,242751,Gravetilladelser,Godkendt,2019-03-19T12:21:44.76,Badstuestræde,1,10B,1209,København K,"Kørebane, Fortov",Fjernvarme,Reparation,2019-03-25,2019-04-26,07:00,15:00,HOFOR A/S,,,AARSLEFF-KAMCO JV I/S,,Aarsleff-Kamco JV I/S,,,2019-04-04T01:24:10.36,4,POINT (724764.39 6176089.7)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3e,3094,3304,233739,Gravetilladelser,Godkendt,2019-01-25T09:46:17.923,Belfastvej,1,6,2300,København S,"Kørebane, Fortov",Vejafvanding,Nyanlæg,2019-01-25,2019-06-03,07:00,17:00,HOFOR A/S,,,SCHELLER. HOUGAARD & PETERSEN A/S,,SCHELLER. HOUGAARD & PETERSEN A/S,,,2019-04-04T01:24:03.38,3,POINT (726956.88 6171989.78)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3d,3190,80762,239307,Gravetilladelser,Godkendt,2019-02-28T07:29:58.467,Bellisvej,18,,2720,Vanløse,"Kørebane, Fortov",Vand,Reparation,2019-04-03,2019-04-21,07:00,15:00,HOFOR A/S,,,MUNCK FORSYNINGSLEDNINGER A/S,,Munck Forsyningsledninger A/S,,,2019-04-04T01:24:07.723,3,POINT (720266.9 6177639.27)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3c,3204,3676,243501,Gravetilladelser,Godkendt,2019-03-22T13:29:47.69,Bellmans Plads,30,,2100,København Ø,"Kørebane, Fortov",Fjernvarme,Reparation,2019-03-26,2019-04-26,07:00,15:00,"c/o Lygten 20, 2400 København NV",,,NCC Danmark A/S Infrastructure,,NCC Danmark A/S Infrastructure,,,2019-04-04T01:24:10.67,5,POINT (724382.78 6180201.4)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3b,3316,3800,243416,Gravetilladelser,Godkendt,2019-03-22T09:55:14.047,Berggreensgade,38,,2100,København Ø,Fortov,Vand,Reparation,2019-03-27,2019-04-11,07:00,15:00,HOFOR A/S,,,MUNCK FORSYNINGSLEDNINGER A/S,,Munck Forsyningsledninger A/S,,,2019-04-04T01:24:10.627,2,POINT (724481.05 6180196.79)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c3a,3319,3805,244241,Gravetilladelser,Godkendt,2019-03-27T06:55:57.157,Bergthorasgade,1,11,2300,København S,"Kørebane, P-Areal, Fortov",Vand,Nyanlæg,2019-04-01,2019-08-15,07:00,19:00,HOFOR A/S,,,NCC Danmark A/S Civil Engineering,,NCC  Danmark A/S,,,2019-04-04T01:24:11.053,37,POINT (724942.85 6174673.95)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c39,3321,3805,239802,Gravetilladelser,Godkendt,2019-03-04T08:41:06.457,Bergthorasgade,1,56,2300,København S,Kørebane,Vand,Renovering,2019-03-05,2019-04-17,07:00,19:00,Hofor A/S,,,NCC Danmark A/S Civil Engineering,,NCC  Danmark A/S,,,2019-04-04T01:24:08.12,25,POINT (724942.85 6174673.95)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c38,3325,3721,241148,Gravetilladelser,Godkendt,2019-03-11T07:10:49.683,Bergthorasgade,2,56,2300,København S,"Kørebane, Fortov, Tættere end 4 m på træer",Vand,Udskiftning,2019-03-13,2019-08-01,07:00,17:00,HOFOR A/S,,,NCC Danmark A/S Civil Engineering,,NCC  Danmark A/S,,,2019-04-04T01:24:09.217,48,POINT (724943.32 6174642.64)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c37,3393,3789,237020,Gravetilladelser,Godkendt,2019-02-13T15:06:04.52,Bernstorffsgade,22,,1577,København V,"Kørebane, Cykelsti, Fortov",Andet,Andet,2019-03-25,2019-04-30,07:00,18:00,METROSELSKABET I/S,,,COPENHAGEN METRO TEAM I/S,,Metroselskabet I/S,,,2019-04-04T01:24:06.237,0,POINT (724284.26 6175341.09)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c36,3440,3794,203687,Gravetilladelser,Godkendt,2018-07-19T12:27:13.133,Bernstorffsgade,29,29,1577,København V,"Cykelsti, Fortov",Andet,Andet,2018-09-03,2022-02-20,00:00,23:30,Ejendomsselskabet Project Nord P/S,,,Per Aarsleff A/S,,Per Aarsleff A/S,,,2019-04-04T01:23:44.237,,POINT (724578.5 6175067.75)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c35,3493,3841,238335,Gravetilladelser,Godkendt,2019-02-22T10:01:27.583,Bernstorffsgade,35,,1577,København V,"Kørebane, P-Areal, Cykelsti, Fortov",Vand,Nyanlæg,2019-03-02,2019-04-30,07:00,15:00,HOFOR A/S,,,NCC Danmark A/S Infrastructure,,NCC Danmark A/S Infrastructure,,,2019-04-04T01:24:07.21,5,POINT (724632.8 6175022.19)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c34,3881,3974,241905,Gravetilladelser,Godkendt,2019-03-13T17:07:27.683,Bjergstedvej,1,9,2700,Brønshøj,Fortov,Fibernet,Etablering,2019-03-28,2019-05-04,,,Gigabit ApS,,,Gigabit ApS,,Gigabit ApS,,,2019-04-04T01:24:09.743,2,POINT (718169.04 6179147.58)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c33,3916,4224,236036,Gravetilladelser,Godkendt,2019-02-07T10:00:36.667,Bjerregårdsvej,1,1,2500,Valby,Kørebane,Andet,Andet,2019-02-01,2019-12-31,,,Carlsberg A/S Ejendomme,,,Per Aarsleff A/S,,Carlsberg A/S Ejendomme,,,2019-04-04T01:24:05.243,0,POINT (721811.58 6174638.96)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c32,3918,4224,139568,Gravetilladelser,Godkendt,2017-06-21T09:58:06.463,Bjerregårdsvej,1,1,2500,Valby,Kørebane,Andet,Andet,2017-06-01,2019-12-31,,,Carlsberg A/S Ejendomme,,,Per Aarsleff A/S,,Carlsberg A/S Ejendomme,,,2019-04-04T01:23:05.307,,POINT (721811.58 6174638.96)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c31,3919,4224,139753,Gravetilladelser,Godkendt,2017-06-22T09:17:42.283,Bjerregårdsvej,1,1,2500,Valby,Fortov,Andet,Andet,2017-06-26,2019-12-31,,,Carlsberg A/S Ejendomme,,,Per Aarsleff A/S,,Carlsberg A/S Ejendomme,,,2019-04-04T01:23:05.493,,POINT (721811.58 6174638.96)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c30,4034,4620,201553,Gravetilladelser,Godkendt,2018-07-04T11:35:10.463,Blegdamsvej,120,132,2100,København Ø,"Kørebane, P-Areal, Cykelsti, Fortov, Grønt areal",Brolægningsarbejder,Etablering,2018-07-04,2019-07-01,07:00,19:00,METROSELSKABET I/S,,,BARSLUND A/S,,Barslund A/S,,,2019-04-04T01:23:42.787,,POINT (724652.22 6178267.56)
erhv_gravetilladelser_aktiv.fid-6d13ff8f_169f56802bf_-7c2f,4488,5410,235944,Gravetilladelser,Godkendt,2019-02-06T15:29:22.29,Bogenæsvej,15,20,2700,Brønshøj,Fortov,Fibernet,Etablering,2019-04-01,2019-05-31,,,Gigabit ApS,,,Gigabit ApS,,Gigabit ApS,,,2019-04-04T01:24:05.097,1,POINT (717613.44 6179413.83)
